Canal;SI;CA_Service
A&E ;1076;59,143,158,442,901
A&E HD ;5168;59,161,442,467,611
ADULT SWIM HD ;5382;47,59,161,239,247
AGRO CANAL ;2103;59,102,174,310,316,362
AGRO CANAL HD ;5443;47,48,59,161,236,436,489,613,999
AGRO HD ;5343;59,161,467,575
AGROPLUS TV ;1709;59,999
AMC ;5242;59,126,902,1179
AMC HD ;5169;47,59,161,259,467
AMC SERIES HD ;5366;59,161,455
ANIMAL PLANET ;2233;59,99,128,902
ANIMAL PLANET HD ;5028;59,161,467,574
ANOS 2000 ;1141;59,137,224
ANOS 60 ;1144;59,137,224
ANOS 70 ;1366;59,137,224
ANOS 80 ;1952;59,137,224
ANOS 90 ;1164;59,137,224
ARTE 1 ;5244;59,98,168,171
AXN ;2130;59,107,442,901
AXN HD ;5082;47,59,161,436,442,459
BAND BRASILIA HD  ;5266;59,61,678
BAND CURITIBA HD ;5445;59,61,684
BAND MANAUS ;5341;59,61,681
BAND MINAS HD ;5031;59,61,682
BAND POA HD ;5081;59,61,685
BAND RIO HD ;6401;59,61,677
BAND SALVADOR HD ;6110;59,61,676
BANDEIRANTES ;1602;59,101,102,104,310,316,362,687,785,901
BANDEIRANTES HD ;1706;47,48,59,161,236,243,489,613,615,687
BANDNEWS ;5247;14,35,37,59,60,157,855,901
BANDNEWS HD ;5185;59,161,467,492,575
BANDSPORTS ;5249;38,59,60,157,855,901
BANDSPORTS HD ;5025;47,59,161,450
BBC HD ;5587;59,60,132,902
BIS ;2914;59,190,193
BIS HD ;5325;47,59,161,470
BLACK ;1954;59,137,224
BLOOMBERG HD ;5345;59,83,129,161,576
BLUES ;1146;59,137,224
BOA VONTADE TV ;5223;59,999
BOX KIDS TV HD ;5221;59,161,471
BRASIL NEWS  ;2516;59,102,310,316,362,999
C3 TV ;2412;59,111,374,999
CANAL 21 HD ;5226;48,59,161,477,999
CANAL 26 ;2111;59,218,909,999
CANAL BRASIL ;2904;59,120,551
CANAL BRASIL HD ;5006;47,48,59,161,236,437,489
CANAL DO BOI ;2401;59,102,174,310,316,362
CANAL DO BOI HD ;1910;47,48,59,161,236,436,489,613,999
CANAL DO CRIADOR ;2607;59,60,102,139,154,223,310,316,362,999
CANAL DO USUARIO TVRO ;5088;59,999
CANAL EDUCACAO ;1606;51,59,80,102,310,316,362,912,999
CANAL GOV ;1406;36,45,59,102,310,316,362,912,999
CANAL HABILITACAO TVRO ;5024;59,999
CANAL HD ;5281;59,161,477,478
CANAL RURAL ;2413;59,60,102,139,154,223,310,316,362,999
CANAL RURAL HD ;1908;47,48,59,161,236,436,489,613,999
CANAL UOL ;1315;59,98,168,172,999
CANCAO NOVA ;1312;59,60,77,102,139,154,310,316,362,901,999
CANÇÃO NOVA HD ;6109;47,48,59,161,236,489,613,999
CARTELA CINZA iTV ;2425;59,60,102,139,154,310,316,901
CARTOON ;1413;59,114,368,901
CARTOON HD ;6402;47,59,161,468
CARTOONITO HD ;5402;47,59,161,243,616
CENTRAL TV HD ;1111;59,999
CGTN ;1418;59,77,102,203,316,362
CGTN HD ;1905;48,59,161,236,436,489,613,999
CINEMAX ;2816;59,181,190
CINEMAX HD ;5164;59,161,467,612
CNBC ;5122;59,140,143
CNBC HD ;5586;59,161,467,580,999
CNN BRASIL ;1303;14,37,59,60,63,111,157,855
CNN BRASIL HD ;1705;59,161,236,436,467,575,999
CNN INTERNAT ;1546;59,79,129,901
CNN MONEY ;2120;59,140,143,901
CNN MONEY HD ;5262;59,161,467,580
CNT ;2511;59,102,175,310,316,362
CNT HD ;5224;47,48,59,161,236,436,489,613,999
CNT RIO DE JANEIRO  ;1808;59,999
COMBATE ;2611;59,314,900
