CANAL;SI;CA_SERVICE;VC_SKY;VC_TVRO;TIPO
A&E;1076;59,143,158,442,901;138;;PACOTE
A&E HD;5168;59,161,442,467,611;538;;PACOTE
ADULT SWIM HD;5382;47,59,161,239,247;551;;PACOTE
AGRO CANAL;2103;59,102,174,310,316,362;154;;PACOTE
AGRO CANAL HD;5443;47,48,59,161,236,436,489,613,999;554;;PACOTE
AGRO HD;5343;59,161,467,575;569;;PACOTE
AGRO+ HD;1709;59,999;569;;PACOTE
AMC;5242;59,126,902,1179;114;;PACOTE
AMC HD;5169;47,59,161,259,467;514;;PACOTE
AMC SERIES HD;5366;59,161,455;517;;PACOTE
ANIMAL PLANET;2233;59,99,128,902;71;;PACOTE
ANIMAL PLANET HD;5028;59,161,467,574;471;;PACOTE
ARTE 1;5244;59,98,168,171;81;;PACOTE
AUDIO ANOS 2000;1141;59,137,224;706;;AUDIO
AUDIO ANOS 60;1144;59,137,224;716;;AUDIO
AUDIO ANOS 70;1366;59,137,224;717;;AUDIO
AUDIO ANOS 80;1952;59,137,224;712;;AUDIO
AUDIO ANOS 90;1164;59,137,224;718;;AUDIO
AUDIO BLACK;1954;59,137,224;721;;AUDIO
AUDIO BLUES;1146;59,137,224;722;;AUDIO
AUDIO DISCO;1346;59,137,224;708;;AUDIO
AUDIO ELETRONICA;1959;59,137,224;713;;AUDIO
AUDIO ESPECIAL;1163;59,137,224;725;;AUDIO
AUDIO FESTA;1162;59,137,224;714;;AUDIO
AUDIO FORRO;1343;59,137,224;704;;AUDIO
AUDIO FUNK E RAP;1341;59,137,224;728;;AUDIO
AUDIO GOSPEL;1958;59,137,224;726;;AUDIO
AUDIO JAZZ;1166;59,137,224;729;;AUDIO
AUDIO KIDS;1345;59,137,224;701;;AUDIO
AUDIO LOUNGE;1365;59,137,224;710;;AUDIO
AUDIO METAL;1361;59,137,224;730;;AUDIO
AUDIO MPB;1364;59,137,224;702;;AUDIO
AUDIO MUSICA CLASSICA;1342;59,137,224;732;;AUDIO
AUDIO POP HITS;1955;59,137,224;715;;AUDIO
AUDIO REGGAE;1957;59,137,224;720;;AUDIO
AUDIO ROCK;1165;59,137,224;711;;AUDIO
AUDIO ROCK BRASIL;1363;59,137,224;731;;AUDIO
AUDIO ROCK CLASSICO;1344;59,137,224;709;;AUDIO
AUDIO ROMANTICAS;1145;59,137,224;723;;AUDIO
AUDIO SAMBA E PAGODE;1161;59,137,224;705;;AUDIO
AUDIO SERTANEJO;1956;59,137,224;707;;AUDIO
AUDIO SERTANEJO UNIVERSITARIO;1953;59,137,224;719;;AUDIO
AUDIO SOFT HITS;1143;59,137,224;703;;AUDIO
AUDIO TELETEMA;1362;59,137,224;724;;AUDIO
AUDIO TRILHA SONORA;1142;59,137,224;727;;AUDIO
AXN;2130;59,107,442,901;136;;PACOTE
AXN HD;5082;47,59,161,436,442,459;536;;PACOTE
BAND BRASILIA HD;5266;59,61,678;413;;CANAL ABERTO
BAND CURITIBA HD;5445;59,61,684;413;;CANAL ABERTO
BAND MANAUS;5341;59,61,681;413;;CANAL ABERTO
BAND MINAS HD;5031;59,61,682;413;;CANAL ABERTO
BAND POA HD;5081;59,61,685;413;;CANAL ABERTO
BAND RIO HD;6401;59,61,677;413;;CANAL ABERTO
BAND SALVADOR HD;6110;59,61,676;413;;CANAL ABERTO
BANDEIRANTES;1602;59,101,102,104,310,316,362,687,785,901;13;;CANAL ABERTO
BANDEIRANTES HD;1706;47,48,59,161,236,243,489,613,615,687;413;;CANAL ABERTO
BANDNEWS;5247;14,35,37,59,60,157,855,901;171;;PACOTE
BANDNEWS HD;5185;59,161,467,492,575;571;;PACOTE
BANDSPORTS;5249;38,59,60,157,855,901;210;;PACOTE
BANDSPORTS HD;5025;47,59,161,450;610;;PACOTE
BBC NEWS HD;5587;59,60,132,902;572;;PACOTE
BIS;2914;59,190,193;160;;PACOTE
BIS HD;5325;47,59,161,470;560;;PACOTE
BLOOMBERG HD;5345;59,83,129,161,576;573;;PACOTE
BM&C NEWS;N/A;N/A;-;;SKY+
BOA VONTADE TV;5223;59,999;-;;PACOTE
BOX KIDS TV HD;5221;59,161,471;458;;PACOTE
BRASIL NEWS;2516;59,102,310,316,362,999;33;;PACOTE
C3 TV;2412;59,111,374,999;170;;PACOTE
CANAL 21 HD;5226;48,59,161,477,999;611;;PACOTE
CANAL 26;2111;59,218,909,999;185;;PACOTE
CANAL BRASIL;2904;59,120,551;113;;PACOTE
CANAL BRASIL HD;5006;47,48,59,161,236,437,489;513;;PACOTE
CANAL DO BOI;2401;59,102,174,310,316,362;165;;PACOTE
CANAL DO BOI HD;1910;47,48,59,161,236,436,489,613,999;565;;PACOTE
CANAL DO CRIADOR;2607;59,60,102,139,154,223,310,316,362,999;166;;PACOTE
CANAL DO USUARIO TVRO;5088;59,999;-;;PACOTE
CANAL EDUCACAO;1606;51,59,80,102,310,316,362,912,999;21;;PACOTE
CANAL GOV;1406;36,45,59,102,310,316,362,912,999;25;;PACOTE
CANAL HABILITACAO TVRO;5024;59,999;-;;PACOTE
CANAL HD;5281;59,161,477,478;-;;PACOTE
CANAL RURAL;2413;59,60,102,139,154,223,310,316,362,999;164;;PACOTE
CANAL RURAL HD;1908;47,48,59,161,236,436,489,613,999;564;;PACOTE
CANAL UOL;1315;59,98,168,172,999;88;;PACOTE
CANCAO NOVA;1312;59,60,77,102,139,154,310,316,362,901,999;8;;PACOTE
CANCAO NOVA HD;6109;47,48,59,161,236,489,613,999;408;;PACOTE
CARTELA CINZA ITV;2425;59,60,102,139,154,310,316,901;-;;PACOTE
CARTOON NETWORK;1413;59,114,368,901;60;;PACOTE
CARTOON NETWORK HD;6402;47,59,161,468;460;;PACOTE
CARTOONITO HD;5402;47,59,161,243,616;461;;PACOTE
CAZE TV;N/A;N/A;-;;SKY+
CENTRAL TV HD;1111;59,999;17;;PACOTE
CGTN;1418;59,77,102,203,316,362;173;;PACOTE
CGTN HD;1905;48,59,161,236,436,489,613,999;578;;PACOTE
CINEMAX;2816;59,181,190;109;;PACOTE
CINEMAX HD;5164;59,161,467,612;509;;PACOTE
CNBC;5122;59,140,143;162;;PACOTE
CNBC HD;5586;59,161,467,580,999;562;;PACOTE
CNN BRASIL;1303;14,37,59,60,63,111,157,855;177;;PACOTE
CNN BRASIL HD;1705;59,161,236,436,467,575,999;577;;PACOTE
CNN INTERNATIONAL;1546;59,79,129,901;174;;PACOTE
CNN MONEY;2120;59,140,143,901;168;;PACOTE
CNN MONEY HD;5262;59,161,467,580;568;;PACOTE
CNT;2511;59,102,175,310,316,362;14;;PACOTE
CNT HD;5224;47,48,59,161,236,436,489,613,999;414;;PACOTE
CNT RIO DE JANEIRO;1808;59,999;911;;PACOTE
COMBATE;2611;59,314,900;190;;PACOTE
COMBATE HD;5149;59,9;590;;PACOTE
COMPRAS;5571;59,102,316;401;;PACOTE
CONTROLE REMOTO;6411;59,161,316;861;;PACOTE
DEUTSCHE WELLE;1502;59,133,909;180;;PACOTE
DISCOVERY;2815;59,116,369,901;70;;PACOTE
DISCOVERY HD;5544;48,59,161,462;470;;PACOTE
DISCOVERY HOME&HEALTH;2116;59,128,217,902;85;;PACOTE
DISCOVERY HOME&HEALTH HD;5525;47,59,161,484;485;;PACOTE
DISCOVERY ID;2212;59,119,901;149;;PACOTE
DISCOVERY ID HD;5526;59,161,467,585;549;;PACOTE
DISCOVERY KIDS;2510;23,59,105,901;50;;PACOTE
DISCOVERY KIDS HD;5545;47,48,59,161,236,436,490;450;;PACOTE
DISCOVERY SCIENCE HD;5541;59,161,467,578;474;;PACOTE
DISCOVERY THEATER HD;5422;47,59,161,463;473;;PACOTE
DISCOVERY TURBO HD;5425;47,59,161,240;472;;PACOTE
DISCOVERY WORLD;5484;59,113,924;87;;PACOTE
DNEWS;N/A;N/A;-;;SKY+
DOG TV HD;6410;59,786;480;;PACOTE
DUMDUM;2415;59,102,123,190,316;52;;PACOTE
EL TRECE INTERNACIONAL;N/A;N/A;-;;SKY+
ESPN;1607;59,124,426,901;195;;PACOTE
ESPN 2;1409;59,89,125,426,901;196;;PACOTE
ESPN 2 HD;1806;47,59,161,238;596;;PACOTE
ESPN 3;1313;53,59,427,924;197;;PACOTE
ESPN 3 HD;1804;47,48,59,161,239,242,442,451;597;;PACOTE
ESPN 4;1414;53,59,427,924;198;;PACOTE
ESPN 4 HD;1101;48,59,161,442,451;598;;PACOTE
ESPN 5 HD;1109;48,59,161,453;599;;PACOTE
ESPN 6 HD;1108;59,257,442;600;;PACOTE
ESPN HD;6108;47,59,161,454;595;;PACOTE
ESR HD;1707;59,403;603;;PACOTE
EUTV;5444;59,999;-;;PACOTE
FASHION TV;2443;59,98,160;84;;PACOTE
FISH TV;1601;59,60,78,111,139;167;;PACOTE
FONTE TV HD;5143;47,48,59,161,236,489,613,999;584;;PACOTE
FOOD NETWORK HD;5543;47,59,161,245,484;492;;PACOTE
FUTURA;1417;36,59,102,202,310,316,362,901;34;;PACOTE
FUTURA HD;6407;47,48,59,161,236,436,489,613,999;434;;PACOTE
GAZIN;5384;59,999;111;;PACOTE
GE TV HD;5564;47,59,161,236,613,615;436;;PACOTE
GLOBO BH;5124;59,61,537;12;;CANAL ABERTO
GLOBO BH HD;5062;59,61,537;412;;CANAL ABERTO
GLOBO BRASILIA;1603;59,61,549;10;;CANAL ABERTO
GLOBO BRASILIA HD;1901;59,61,549;410;;CANAL ABERTO
GLOBO CENTRO AMERICA;503;59,61,561;12;;CANAL ABERTO
GLOBO CENTRO AMERICA HD;5145;59,61,561;412;;CANAL ABERTO
GLOBO EPTV CAMPINAS;1416;59,61,541;12;;CANAL ABERTO
GLOBO EPTV CAMPINAS HD;1702;59,61,541;412;;CANAL ABERTO
GLOBO EPTV CENTRAL;5488;59,61,563;4;;CANAL ABERTO
GLOBO EPTV CENTRAL HD;5087;59,61,563;404;;CANAL ABERTO
GLOBO EPTV RIBEIRAO;1401;59,61,534;10;;CANAL ABERTO
GLOBO EPTV RIBEIRAO HD;6106;59,61,534;410;;CANAL ABERTO
GLOBO EPTV SUL MINAS;2919;59,61,215;5;;CANAL ABERTO
GLOBO EPTV SUL MINAS HD;5346;59,61,215;405;;CANAL ABERTO
GLOBO INTEGRACAO ARAXA;2501;59,61,570;12;;CANAL ABERTO
GLOBO INTER TV ALTO LITORAL;2906;59,61,564;10;;CANAL ABERTO
GLOBO INTER TV ALTO LITORAL HD;5021;59,61,564;410;;CANAL ABERTO
GLOBO INTER TV CABUGI;1609;59,61,560;4;;CANAL ABERTO
GLOBO INTER TV CABUGI HD;1703;59,61,560;404;;CANAL ABERTO
GLOBO INTER TV DOS VALES;5243;59,61,599;10;;CANAL ABERTO
GLOBO INTER TV DOS VALES HD;5005;59,61,599;410;;CANAL ABERTO
GLOBO INTER TV GRANDE MINAS;2206;59,61,216;4;;CANAL ABERTO
GLOBO INTER TV SERRA+MAR;2818;59,61,565;12;;CANAL ABERTO
GLOBO INTER TV SERRA+MAR HD;5146;59,61,565;412;;CANAL ABERTO
GLOBO ITAPETININGA HD;5403;59,61,214;410;;CANAL ABERTO
GLOBO NSC BLUMENAU;2829;59,61,566;4;;CANAL ABERTO
GLOBO NSC BLUMENAU HD;5047;59,61,566;404;;CANAL ABERTO
GLOBO NSC FLORIANOPOLIS;5246;59,61,600;12;;CANAL ABERTO
GLOBO NSC FLORIANOPOLIS HD;5085;59,61,600;412;;CANAL ABERTO
GLOBO NSC JOINVILLE;5481;59,61,567;4;;CANAL ABERTO
GLOBO NSC JOINVILLE HD;5407;59,61,567;404;;CANAL ABERTO
GLOBO NSC TV CENTRO OESTE;5123;59,61,605;5;;CANAL ABERTO
GLOBO NSC TV CENTRO OESTE HD;5261;59,61,605;405;;CANAL ABERTO
GLOBO NSC TV CHAPECO;5136;59,61,606;12;;CANAL ABERTO
GLOBO NSC TV CHAPECO HD;5265;59,61,606;412;;CANAL ABERTO
GLOBO NSC TV CRICIUMA;5251;59,61,607;5;;CANAL ABERTO
GLOBO NSC TV CRICIUMA HD;5003;59,61,607;405;;CANAL ABERTO
GLOBO RBS TV CAXIAS DO SUL;5133;59,61,628;10;;CANAL ABERTO
GLOBO RBS TV CAXIAS DO SUL HD;5109;59,61,628;410;;CANAL ABERTO
GLOBO RBS TV PASSO FUNDO;2807;59,61,627;5;;CANAL ABERTO
GLOBO RBS TV PASSO FUNDO HD;5161;59,61,627;405;;CANAL ABERTO
GLOBO RBS TV PELOTAS;5135;59,61,626;4;;CANAL ABERTO
GLOBO RBS TV PELOTAS HD;5108;59,61,626;404;;CANAL ABERTO
GLOBO RBS TV POA;2104;59,61,533;10;;CANAL ABERTO
GLOBO RBS TV POA HD;5064;59,61,533;410;;CANAL ABERTO
GLOBO RBS TV SANTA CRUZ;2508;59,61,625;5;;CANAL ABERTO
GLOBO RBS TV SANTA CRUZ HD;5583;59,61,625;405;;CANAL ABERTO
GLOBO RBS TV SANTA MARIA;2507;59,61,629;12;;CANAL ABERTO
GLOBO RBS TV SANTA MARIA HD;5322;59,61,629;412;;CANAL ABERTO
GLOBO RECIFE;2903;59,61,556;5;;CANAL ABERTO
GLOBO RECIFE HD;5321;59,61,556;405;;CANAL ABERTO
GLOBO REDE AMAZONICA;2901;59,61,559;5;;CANAL ABERTO
GLOBO REDE AMAZONICA BOA VISTA;2601;59,61,618;4;;CANAL ABERTO
GLOBO REDE AMAZONICA BOA VISTA HD;5045;59,61,618;404;;CANAL ABERTO
GLOBO REDE AMAZONICA HD;5589;59,61,559;405;;CANAL ABERTO
GLOBO REDE AMAZONICA MACAPA;2603;59,61,619;5;;CANAL ABERTO
GLOBO REDE AMAZONICA MACAPA HD;5404;59,61,619;405;;CANAL ABERTO
GLOBO REDE AMAZONICA PORTO VELHO;2613;59,61,620;4;;CANAL ABERTO
GLOBO REDE AMAZONICA PORTO VELHO HD;5302;59,61,620;404;;CANAL ABERTO
GLOBO REDE AMAZONICA RIO BRANCO;2117;59,61,621;5;;CANAL ABERTO
GLOBO REDE AMAZONICA RIO BRANCO HD;5147;59,61,621;405;;CANAL ABERTO
GLOBO RJ;1320;59,61,531;4;;CANAL ABERTO
GLOBO RJ HD;5061;59,61,531;404;;CANAL ABERTO
GLOBO RPC CASCAVEL;5611;59,61,630;4;;CANAL ABERTO
GLOBO RPC CASCAVEL HD;5148;59,61,630;404;;CANAL ABERTO
GLOBO RPC CURITIBA;1503;59,61,544;12;;CANAL ABERTO
GLOBO RPC CURITIBA HD;1904;59,61,544;412;;CANAL ABERTO
GLOBO RPC FOZ DO IGUACU;2407;59,61,634;5;;CANAL ABERTO
GLOBO RPC FOZ IGUACU HD;1107;59,61,634;405;;CANAL ABERTO
GLOBO RPC LONDRINA;5613;59,61,632;10;;CANAL ABERTO
GLOBO RPC LONDRINA HD;5268;59,61,632;410;;CANAL ABERTO
GLOBO RPC MARINGA;2908;59,61,609;12;;CANAL ABERTO
GLOBO RPC MARINGA HD;5089;59,61,609;412;;CANAL ABERTO
GLOBO RPC PONTA GROSSA;5637;59,61,633;10;;CANAL ABERTO
GLOBO RPC PONTA GROSSA HD;5181;59,61,633;410;;CANAL ABERTO
GLOBO SP;1635;59,61,543;5;;CANAL ABERTO
GLOBO SP HD;5561;59,61,543;405;;CANAL ABERTO
GLOBO TV ANHANGUERA GOIANIA;2602;59,61,558;4;;CANAL ABERTO
GLOBO TV ANHANGUERA GOIANIA HD;5182;59,61,558;404;;CANAL ABERTO
GLOBO TV ANHANGUERA PALMAS HD;5362;59,61,435;410;;CANAL ABERTO
GLOBO TV ASA BRANCA;1316;59,61,594;12;;CANAL ABERTO
GLOBO TV ASA BRANCA ALAGOAS;5131;59,61,602;10;;CANAL ABERTO
GLOBO TV ASA BRANCA ALAGOAS HD;5581;59,61,602;410;;CANAL ABERTO
GLOBO TV ASA BRANCA HD;1103;59,61,594;412;;CANAL ABERTO
GLOBO TV BAHIA;5483;59,61,535;10;;CANAL ABERTO
GLOBO TV BAHIA HD;5063;59,61,535;410;;CANAL ABERTO
GLOBO TV CABO BRANCO;2218;59,61,622;12;;CANAL ABERTO
GLOBO TV CABO BRANCO HD;5584;59,61,622;412;;CANAL ABERTO
GLOBO TV CLUBE;5250;59,61,601;12;;CANAL ABERTO
GLOBO TV CLUBE HD;5401;59,61,601;412;;CANAL ABERTO
GLOBO TV DIARIO;5482;59,61,568;12;;CANAL ABERTO
GLOBO TV DIARIO HD;5144;59,61,568;412;;CANAL ABERTO
GLOBO TV GAZETA VITORIA;2817;59,61,608;5;;CANAL ABERTO
GLOBO TV GAZETA VITORIA HD;5267;59,61,608;405;;CANAL ABERTO
GLOBO TV INTEGRACAO JUIZ DE FORA;5485;59,61,571;5;;CANAL ABERTO
GLOBO TV INTEGRACAO JUIZ DE FORA HD;5103;59,61,571;405;;CANAL ABERTO
GLOBO TV INTEGRACAO UBERABA;1509;59,61,631;4;;CANAL ABERTO
GLOBO TV INTEGRACAO UBERABA HD;1110;59,61,631;404;;CANAL ABERTO
GLOBO TV INTEGRACAO UBERLANDIA;5130;59,61,610;10;;CANAL ABERTO
GLOBO TV INTEGRACAO UBERLANDIA HD;5263;59,61,610;410;;CANAL ABERTO
GLOBO TV LIBERAL BELEM;2604;59,61,557;10;;CANAL ABERTO
GLOBO TV LIBERAL BELEM HD;5327;59,61,557;410;;CANAL ABERTO
GLOBO TV MIRANTE COCAIS;5241;59,61,591;10;;CANAL ABERTO
GLOBO TV MIRANTE COCAIS HD;5105;59,61,591;410;;CANAL ABERTO
GLOBO TV MIRANTE SAO LUIS;5132;59,61,603;10;;CANAL ABERTO
GLOBO TV MIRANTE SAO LUIS HD;5202;59,61,603;410;;CANAL ABERTO
GLOBO TV MORENA;2803;59,61,604;12;;CANAL ABERTO
GLOBO TV MORENA HD;5187;59,61,604;412;;CANAL ABERTO
GLOBO TV RIO SUL;5486;59,61,572;5;;CANAL ABERTO
GLOBO TV RIO SUL HD;5165;59,61,572;405;;CANAL ABERTO
GLOBO TV SANTA CRUZ;2916;59,61,573;4;;CANAL ABERTO
GLOBO TV SERGIPE;1310;59,61,593;5;;CANAL ABERTO
GLOBO TV SERGIPE HD;1810;59,61,593;405;;CANAL ABERTO
GLOBO TV SUBAE;2419;59,61,624;12;;CANAL ABERTO
GLOBO TV SUBAE HD;1104;59,61,624;412;;CANAL ABERTO
GLOBO TV SUDOESTE;5245;59,61,592;5;;CANAL ABERTO
GLOBO TV SUDOESTE HD;5041;59,61,592;405;;CANAL ABERTO
GLOBO TV TEM BAURU;5248;59,61,532,569;5;;CANAL ABERTO
GLOBO TV TEM BAURU HD;5304;59,61,532,569;405;;CANAL ABERTO
GLOBO TV TEM ITAPETININGA;2110;59,61,214;10;;CANAL ABERTO
GLOBO TV TEM SJRP;5487;59,61,536;5;;CANAL ABERTO
GLOBO TV TEM SJRP HD;5007;59,61,536;405;;CANAL ABERTO
GLOBO TV TEM SOROCABA;1513;59,61,538;4;;CANAL ABERTO
GLOBO TV TEM SOROCABA HD;6104;59,61,538;404;;CANAL ABERTO
GLOBO TV TRIBUNA;1301;59,61,542;4;;CANAL ABERTO
GLOBO TV TRIBUNA HD;6403;59,61,542;404;;CANAL ABERTO
GLOBO VANGUARDA SJC;1626;59,61,539;12;;CANAL ABERTO
GLOBO VANGUARDA SJC HD;1801;59,61,539;412;;CANAL ABERTO
GLOBO VANGUARDA TAUBATE;1624;59,61,562;5;;CANAL ABERTO
GLOBO VANGUARDA TAUBATE HD;1802;59,61,562;405;;CANAL ABERTO
GLOBO VERDES MARES;2202;59,61,540;10;;CANAL ABERTO
GLOBO VERDES MARES CARIRI;2606;59,61,623;5;;CANAL ABERTO
GLOBO VERDES MARES CARIRI HD;5303;59,61,623;405;;CANAL ABERTO
GLOBO VERDES MARES HD;5001;59,61,540;410;;CANAL ABERTO
GLOBONEWS;1075;59,118,206;40;;PACOTE
GLOBONEWS HD;5084;47,59,161,482;440;;PACOTE
GLOBOPLAY NOVELAS;2609;59,63,111,442,551;43;;PACOTE
GLOBOPLAY NOVELAS HD;5083;48,59,161,236,436,442;443;;PACOTE
GLOOB;2810;59,98,111,168,170;56;;PACOTE
GLOOB HD;5106;48,59,161,474;456;;PACOTE
GLOOBINHO;2605;59,130,142,596;51;;PACOTE
GLOOBINHO HD;5546;48,59,161,242,451,467,583;451;;PACOTE
GNT;227;59,111,367;41;;PACOTE
GNT HD;5329;48,59,161,456;441;;PACOTE
GOLF CHANNEL HD;5301;59,92,105,161,546;606;;PACOTE
HBO;2902;59,149,150,225,904,908;120;;PACOTE
HBO 2;2917;59,149,150,226,904,908;121;;PACOTE
HBO 2 HD;5104;59,163;521;;PACOTE
