CANAL;VC_SKY
AGRO CANAL;154
AGRO CANAL HD;554
BAND;13
BAND HD;413
BRASIL NEWS;33
CANAL DO BOI;165
CANAL DO BOI HD;565
CANAL DO CRIADOR;166
CANAL EDUCACAO;21
CANAL GOV;25
CANAL RURAL;164
CANAL RURAL HD;564
CANCAO NOVA;8
CANCAO NOVA HD;408
CGTN;173
CGTN HD;578
CNT;14
CNT HD;414
FONTE TV;584
FUTURA;34
FUTURA HD;434
GE TV HD ;436
GLOBO;4,5,10,12
GLOBO HD;404,405,410,412
RADIO BAND FM;794
RADIO BANDEIRANTES;795
RADIO BANDNEWS;793
RADIO BH FM;782
RADIO CBN;776
RADIO CBN BH;779
RADIO CBN BSB;778
RADIO CBN RJ;777
RADIO CLUBE FM;792
RADIO EVANGELIZAR MAIS;798
RADIO EVANGELIZAR POP;797
RADIO GAUCHA;785
RADIO GLOBO RJ;787
RADIO ITATIAIA AM/FM;789
RADIO JOVEM PAN FM;784
RADIO JOVEM PAN NEWS;783
RADIO NATIVA;796
RADIO NERY FM ;791
RADIO RFI;786
RADIO VERDES MARES;790
RBI;20
RBTV;32
RECORD;7
RECORD HD;407
RECORD NEWS;19
RECORD NEWS HD;419
REDE BRASIL;17
REDE MUNDIAL HD ;585
REDE TV;15
REDE TV HD;415
REDE VIDA;6
REDE VIDA HD;406
RIT;3
SBT;9
SBT HD;409
SBT NEWS HD ;580
TERRA VIVA;163
TERRA VIVA HD;563
TV APARECIDA;11
TV ARTES;82
TV BRASIL;23
TV CAMARA;22
TV CAMARA DISTRITAL ;29
TV COMUNITARIA;28
TV CRISTA MARANATA;587
TV CULTURA;2
TV CULTURA HD;402
TV EVANGELIZAR;586
TV GAZETA;575
TV JUSTICA;24
TV NOVO TEMPO;31
TV NOVO TEMPO HD;431
TV PAI ETERNO;18
TV SENADO;26
UNIVESP TV;75
XSPORTS TV;16
XSPORTS TV HD;416
