CANAL;VC_SKY
TV CULTURA;2
RIT;3
GLOBO;4/5/10/12
REDE VIDA;6
RECORD;7
CANÇÃO NOVA;8
SBT;9
TV APARECIDA;11
BAND;13
CNT;14
REDE TV;15
XSPORTS TV;16
REDE BRASIL;17
TV PAI ETERNO;18
RECORD NEWS;19
RBI;20
CANAL EDUCAÇÃO;21
TV CÂMARA;22
TV BRASIL;23
TV JUSTIÇA;24
CANAL GOV;25
TV SENADO;26
TV COMUNITARIA;28
TV CAMARA DISTRITAL ;29
TV NOVO TEMPO;31
RBTV;32
BRASIL NEWS;33
FUTURA;34
SPORTV 3;37
SPORTV 2;38
SPORTV;39
GLOBONEWS;40
MULTISHOW;42
GLOBOPLAY NOVELAS;43
DISCOVERY KIDS;50
GLOOBINHO;51
UNIVESP TV;75
HISTORY CHANNEL;76
TV ARTES;82
TRAVEL BOX BRAZIL;83
LIFETIME;90
MEGAPIX;107
STUDIO UNIVERSAL;111
SONY MOVIES;135
AXN;136
SONY CHANNEL;137
A&E;138
WARNER CHANNEL;139
UNIVERSAL CHANNEL;140
USA;142
AGRO CANAL;154
PRIME BOX BRAZIL;157
PLAY TV;161
CNBC;162
TERRA VIVA;163
CANAL RURAL;164
CANAL DO BOI;165
CANAL DO CRIADOR;166
FISH TV;167
CNN MONEY;168
CGTN;173
CNN BRASIL;177
SPORTYNET;202
CNBC HD;562
CGTN HD;578
ÁUDIO KIDS;701
ÁUDIO MPB;702
ÁUDIO SOFT HITS;703
ÁUDIO FORRÓ;704
ÁUDIO SAMBA E PAGODE;705
ÁUDIO ANOS 2000;706
ÁUDIO SERTANEJO;707
ÁUDIO DISCO;708
ÁUDIO ROCK CLÁSSICO;709
ÁUDIO LOUNGE;710
ÁUDIO ROCK;711
ÁUDIO ANOS 80;712
ÁUDIO ELETRÔNICA;713
ÁUDIO FESTA;714
ÁUDIO POP HITS;715
ÁUDIO ANOS 60;716
ÁUDIO ANOS 70;717
ÁUDIO ANOS 90;718
ÁUDIO SERTANEJO UNIVERSITÁRIO;719
ÁUDIO REGGAE;720
ÁUDIO BLACK;721
ÁUDIO BLUES;722
ÁUDIO ROMÂNTICAS;723
ÁUDIO TELETEMA;724
ÁUDIO ESPECIAL;725
ÁUDIO GOSPEL;726
ÁUDIO TRILHA SONORA;727
ÁUDIO FUNK E RAP;728
ÁUDIO JAZZ;729
ÁUDIO METAL;730
ÁUDIO ROCK BRASIL;731
ÁUDIO MÚSICA CLÁSSICA;732
RÁDIO CBN;776
RÁDIO CBN RJ;777
RÁDIO CBN BSB;778
RÁDIO CBN BH;779
RÁDIO BH FM;782
RÁDIO JOVEM PAN NEWS;783
RÁDIO JOVEM PAN FM;784
RÁDIO GAÚCHA;785
RÁDIO RFI;786
RÁDIO GLOBO RJ;787
RÁDIO ITATIAIA AM/FM;789
RÁDIO VERDES MARES;790
RÁDIO CLUBE FM;792
RÁDIO NERY FM ;791
RÁDIO BANDNEWS;793
RÁDIO BAND FM;794
RÁDIO BANDEIRANTES;795
RÁDIO NATIVA;796
RÁDIO EVANGELIZAR POP;797
RÁDIO EVANGELIZAR MAIS;798
