CANAL;VC_SKY
TV CULTURA;2
RIT;3
GLOBO;4/5/10/12
REDE VIDA;6
RECORD;7
CANÇÃO NOVA;8
SBT;9
TV APARECIDA;11
BAND;13
CNT;14
REDE TV;15
XSPORTS TV;16
REDE BRASIL;17
TV PAI ETERNO;18
RECORD NEWS;19
RBI;20
CANAL EDUCAÇÃO;21
TV CÂMARA;22
TV BRASIL;23
TV JUSTIÇA;24
CANAL GOV;25
TV SENADO;26
TV COMUNITARIA;28
TV CAMARA DISTRITAL ;29
TV NOVO TEMPO;31
RBTV;32
BRASIL NEWS;33
FUTURA;34
GLOBONEWS;40
MULTISHOW;42
DISCOVERY KIDS;50
UNIVESP TV;75
TV ARTES;82
CANAL BRASIL;113
UNIVERSAL CHANNEL;140
AGRO CANAL;154
PRIME BOX BRAZIL;157
TERRA VIVA;163
CANAL RURAL;164
CANAL DO BOI;165
CANAL DO CRIADOR;166
CGTN;173
GLOBO HD;404/405/410/412
TV CULTURA HD;402
REDE VIDA HD;406
RECORD HD;407
CANÇÃO NOVA HD;408
SBT HD;409
BAND HD;413
CNT HD;414
REDE TV HD;415
XSPORTS TV HD;416
RECORD NEWS HD;419
TV NOVO TEMPO HD;431
FUTURA HD;434
GE TV HD ;436
GLOBONEWS HD;440
MULTISHOW HD;442
DISCOVERY KIDS HD;450
CANAL BRASIL HD;513
UNIVERSAL CHANNEL HD;540
AGRO CANAL HD;554
TERRA VIVA HD;563
CANAL RURAL HD;564
CANAL DO BOI HD;565
TV GAZETA;575
CGTN HD;578
SBT NEWS HD ;580
FONTE TV;584
REDE MUNDIAL HD ;585
TV EVANGELIZAR;586
TV CRISTÃ MARANATA;587
RÁDIO CBN;776
RÁDIO CBN RJ;777
RÁDIO CBN BSB;778
RÁDIO CBN BH;779
RÁDIO BH FM;782
RÁDIO JOVEM PAN NEWS;783
RÁDIO JOVEM PAN FM;784
RÁDIO GAÚCHA;785
RÁDIO RFI;786
RÁDIO GLOBO RJ;787
RÁDIO ITATIAIA AM/FM;789
RÁDIO VERDES MARES;790
RÁDIO CLUBE FM;792
RÁDIO NERY FM ;791
RÁDIO BANDNEWS;793
RÁDIO BAND FM;794
RÁDIO BANDEIRANTES;795
RÁDIO NATIVA;796
RÁDIO EVANGELIZAR POP;797
RÁDIO EVANGELIZAR MAIS;798
