CANAL;VC_SKY
TV CULTURA;2
RIT;3
GLOBO;4/5/10/12
REDE VIDA;6
RECORD;7
CANÇÃO NOVA;8
SBT;9
TV APARECIDA;11
BAND;13
CNT;14
REDE TV;15
XSPORTS TV;16
REDE BRASIL;17
TV PAI ETERNO;18
RECORD NEWS;19
RBI;20
CANAL EDUCAÇÃO;21
TV CÂMARA;22
TV BRASIL;23
TV JUSTIÇA;24
CANAL GOV;25
TV SENADO;26
TV COMUNITARIA;28
TV CAMARA DISTRITAL ;29
TV NOVO TEMPO;31
RBTV;32
BRASIL NEWS;33
FUTURA;34
UNIVESP TV;75
AGRO CANAL;154
TERRA VIVA;163
CANAL RURAL;164
CANAL DO BOI;165
CANAL DO CRIADOR;166
CGTN;173
XSPORTS TV HD;416
