CANAL;VC_SKY
TV CULTURA;2
RIT;3
GLOBO;4/5/10/12
REDE VIDA;6
RECORD;7
CANÇÃO NOVA;8
SBT;9
TV APARECIDA;11
BAND;13
CNT;14
REDE TV;15
XSPORTS TV;16
REDE BRASIL;17
TV PAI ETERNO;18
RECORD NEWS;19
RBI;20
CANAL EDUCAÇÃO;21
TV CÂMARA;22
TV BRASIL;23
TV JUSTIÇA;24
CANAL GOV;25
TV SENADO;26
TV COMUNITARIA;28
TV CAMARA DISTRITAL ;29
TV NOVO TEMPO;31
RBTV;32
BRASIL NEWS;33
FUTURA;34
OFF;35
SPORTV 3;37
SPORTV 2;38
SPORTV;39
GLOBONEWS;40
GNT;41
MULTISHOW;42
GLOBOPLAY NOVELAS;43
MODO VIAGEM;44
DISCOVERY KIDS;50
GLOOBINHO;51
DUMDUM;52
GLOOB;56
CARTOON NETWORK;60
DISCOVERY CHANNEL;70
ANIMAL PLANET;71
UNIVESP TV;75
HISTORY CHANNEL;76
ARTE 1;81
TV ARTES;82
TRAVEL BOX BRAZIL;83
FASHION TV;84
D.HOME&HEALTH;85
TLC;86
DISCOVERY WORLD;87
CANAL UOL;88
LIFETIME;90
TELECINE PREMIUM;100
TELECINE ACTION;101
TELECINE TOUCH;102
TELECINE PIPOCA;103
TELECINE FUN;104
TELECINE CULT;105
MEGAPIX;107
TNT;108
CINEMAX;109
SPACE;110
STUDIO UNIVERSAL;111
CANAL BRASIL;113
AMC;114
HBO;120
HBO2;121
HBO PLUS;122
HBO FAMILY;124
HBO SIGNATURE;125
HBO MUNDI;126
HBO POP;127
HBO XTREME;128
SONY MOVIES;135
AXN;136
SONY CHANNEL;137
A&E;138
WARNER CHANNEL;139
UNIVERSAL CHANNEL;140
USA;142
ID;149
TNT SERIES;150
AGRO CANAL;154
TNT NOVELAS;155
PRIME BOX BRAZIL;157
BIS;160
PLAY TV;161
CNBC;162
TERRA VIVA;163
CANAL RURAL;164
CANAL DO BOI;165
CANAL DO CRIADOR;166
FISH TV;167
CNN MONEY;168
C3 TV;170
BANDNEWS;171
CGTN;173
CNN INTERNAT.;174
CNN BRASIL;177
TV5;178
TV ESPANHA;179
DW (Deutsch+);180
RTP;181
RAI;182
NHK;183
CANAL 26;185
COMBATE;190
ESPN;195
ESPN 2;196
ESPN 3;197
ESPN 4;198
SPORTYNET;202
BANDSPORTS;210
SPORTYNET+;220
PREMIERE;233
SEXY HOT;270
PLAYBOY TV;272
PLAYBOY TV HD;273
SEX PRIVE;274
SEX PRIVE HD;277
GLOBO HD;404/405/410/412
TV CULTURA HD;402
REDE VIDA HD;406
RECORD HD;407
CANÇÃO NOVA HD;408
SBT HD;409
BAND HD;413
CNT HD;414
REDE TV HD;415
XSPORTS TV HD;416
RECORD NEWS HD;419
TV NOVO TEMPO HD;431
FUTURA HD;434
OFF HD;435
GE TV HD ;436
SPORTV 3 HD;437
SPORTV 2 HD;438
SPORTV HD;439
GLOBONEWS HD;440
GNT HD;441
MULTISHOW HD;442
GLOBOPLAY NOVELAS HD;443
MODO VIAGEM HD;444
DISCOVERY KIDS HD;450
GLOOBINHO HD;451
GLOOB HD;456
